1. 61,91,76,421876,34206
2. 91,64,92,535808,40168
3. 77,37,55,156695,18238
4. 64,22,35,49280,8836
5. 78,92,12,86112,18432
6. 27,89,81,194643,23598
7. 93,58,46,248124,24680
8. 96,93,88,785664,51120
9. 60,81,54,262440,24948
10. 59,59,44,153164,17346
11. 89,43,98,375046,33526
12. 75,84,21,132300,19278
13. 33,70,99,228690,25014
14. 57,42,51,122094,14886
15. 49,78,55,210210,21614
16. 37,84,66,205128,22188
17. 16,11,59,10384,3538
18. 92,98,88,793408,51472
19. 69,94,27,175122,21774
20. 97,68,79,521084,39262
21. 21,48,78,78624,12780
22. 39,58,78,176436,19656
23. 46,29,54,72036,10768
24. 14,93,94,122388,22720
25. 28,69,16,30912,6968
26. 64,51,12,39168,9288
27. 13,90,53,62010,13258
28. 64,26,27,44928,8188
29. 91,21,20,38220,8302
30. 44,41,47,84788,11598
31. 26,48,75,93600,13596
32. 42,80,19,63840,11356
33. 57,59,82,275766,25750
34. 70,35,41,100450,13510
35. 46,69,19,60306,10718
36. 25,50,77,96250,14050
37. 63,74,18,83916,14256
38. 87,31,78,210366,23802
39. 76,24,42,76608,12048
40. 46,49,52,117208,14388
41. 16,61,74,72224,13348
42. 53,66,45,157410,17706
43. 99,72,14,99792,19044
44. 47,39,28,51324,8482
45. 74,30,69,153180,18792
46. 74,87,91,585858,42178
47. 22,79,10,17380,5496
48. 57,99,30,169290,20646
49. 92,59,50,271400,25956
50. 30,35,24,25200,5220
